genre,date,count
Alternative rock,1954,0.0
Alternative rock,1955,0.0
Alternative rock,1956,0.0
Alternative rock,1957,0.0
Alternative rock,1958,0.0
Alternative rock,1959,0.0
Alternative rock,1960,0.0
Alternative rock,1961,0.0
Alternative rock,1962,0.0
Alternative rock,1963,0.0
Alternative rock,1964,0.0
Alternative rock,1965,0.0
Alternative rock,1966,0.0
Alternative rock,1967,0.0
Alternative rock,1968,0.0
Alternative rock,1969,0.0
Alternative rock,1970,0.0
Alternative rock,1971,0.0
Alternative rock,1972,0.0
Alternative rock,1973,0.0
Alternative rock,1974,0.0
Alternative rock,1975,0.0
Alternative rock,1976,0.0
Alternative rock,1977,0.0
Alternative rock,1978,0.54
Alternative rock,1979,0.0
Alternative rock,1980,0.0
Alternative rock,1981,0.72
Alternative rock,1982,1.53
Alternative rock,1983,1.67
Alternative rock,1984,4.84
Alternative rock,1985,2.43
Alternative rock,1986,4.94
Alternative rock,1987,4.69
Alternative rock,1988,4.07
Alternative rock,1989,5.73
Alternative rock,1990,8.19
Alternative rock,1991,5.88
Alternative rock,1992,8.75
Alternative rock,1993,5.83
Alternative rock,1994,5.89
Alternative rock,1995,6.65
Alternative rock,1996,5.99
Alternative rock,1997,8.86
Alternative rock,1998,6.92
Alternative rock,1999,5.66
Alternative rock,2000,7.43
Alternative rock,2001,9.75
Alternative rock,2002,7.79
Alternative rock,2003,8.97
Alternative rock,2004,8.55
Alternative rock,2005,7.69
Alternative rock,2006,7.88
Alternative rock,2007,9.77
Alternative rock,2008,12.13
Alternative rock,2009,10.01
Alternative rock,2010,10.36
Alternative rock,2011,11.05
Alternative rock,2012,12.97
Alternative rock,2013,13.5
Alternative rock,2014,10.94
Alternative rock,2015,11.83
Alternative rock,2016,9.58
Alternative rock,2017,15.29
Alternative rock,2018,12.87
Alternative rock,2019,11.33
Alternative rock,2020,10.43
Art rock,1954,0.0
Art rock,1955,0.0
Art rock,1956,0.0
Art rock,1957,0.0
Art rock,1958,0.0
Art rock,1959,0.0
Art rock,1960,0.0
Art rock,1961,0.0
Art rock,1962,0.0
Art rock,1963,0.0
Art rock,1964,0.0
Art rock,1965,0.0
Art rock,1966,0.0
Art rock,1967,0.0
Art rock,1968,0.0
Art rock,1969,2.94
Art rock,1970,3.25
Art rock,1971,5.94
Art rock,1972,7.69
Art rock,1973,9.93
Art rock,1974,6.14
Art rock,1975,5.35
Art rock,1976,5.43
Art rock,1977,5.94
Art rock,1978,7.61
Art rock,1979,6.84
Art rock,1980,9.09
Art rock,1981,4.58
Art rock,1982,5.24
Art rock,1983,3.34
Art rock,1984,4.44
Art rock,1985,4.86
Art rock,1986,6.1
Art rock,1987,5.71
Art rock,1988,5.34
Art rock,1989,3.91
Art rock,1990,5.53
Art rock,1991,6.8
Art rock,1992,3.78
Art rock,1993,4.47
Art rock,1994,5.39
Art rock,1995,5.19
Art rock,1996,5.82
Art rock,1997,4.43
Art rock,1998,4.51
Art rock,1999,5.32
Art rock,2000,6.55
Art rock,2001,7.69
Art rock,2002,6.2
Art rock,2003,6.43
Art rock,2004,7.08
Art rock,2005,7.42
Art rock,2006,6.36
Art rock,2007,7.09
Art rock,2008,7.4
Art rock,2009,6.5
Art rock,2010,6.35
Art rock,2011,7.22
Art rock,2012,5.91
Art rock,2013,5.6
Art rock,2014,5.98
Art rock,2015,5.86
Art rock,2016,7.0
Art rock,2017,3.31
Art rock,2018,5.85
Art rock,2019,4.67
Art rock,2020,6.09
Baroque pop,1954,0.0
Baroque pop,1955,0.0
Baroque pop,1956,0.0
Baroque pop,1957,0.0
Baroque pop,1958,0.0
Baroque pop,1959,0.0
Baroque pop,1960,0.0
Baroque pop,1961,0.0
Baroque pop,1962,0.0
Baroque pop,1963,0.0
Baroque pop,1964,0.0
Baroque pop,1965,0.0
Baroque pop,1966,0.0
Baroque pop,1967,0.0
Baroque pop,1968,0.0
Baroque pop,1969,0.0
Baroque pop,1970,0.0
Baroque pop,1971,0.0
Baroque pop,1972,0.7
Baroque pop,1973,0.71
Baroque pop,1974,0.0
Baroque pop,1975,0.0
Baroque pop,1976,0.0
Baroque pop,1977,0.0
Baroque pop,1978,0.0
Baroque pop,1979,0.0
Baroque pop,1980,0.0
Baroque pop,1981,0.0
Baroque pop,1982,0.0
Baroque pop,1983,0.0
Baroque pop,1984,0.0
Baroque pop,1985,0.0
Baroque pop,1986,0.0
Baroque pop,1987,0.0
Baroque pop,1988,0.0
Baroque pop,1989,0.0
Baroque pop,1990,0.0
Baroque pop,1991,0.0
Baroque pop,1992,0.0
Baroque pop,1993,0.19
Baroque pop,1994,0.0
Baroque pop,1995,0.0
Baroque pop,1996,0.0
Baroque pop,1997,0.0
Baroque pop,1998,0.15
Baroque pop,1999,0.33
Baroque pop,2000,0.0
Baroque pop,2001,0.0
Baroque pop,2002,0.0
Baroque pop,2003,0.21
Baroque pop,2004,0.0
Baroque pop,2005,0.0
Baroque pop,2006,0.0
Baroque pop,2007,0.0
Baroque pop,2008,0.0
Baroque pop,2009,0.14
Baroque pop,2010,0.0
Baroque pop,2011,0.0
Baroque pop,2012,0.0
Baroque pop,2013,0.0
Baroque pop,2014,0.0
Baroque pop,2015,0.61
Baroque pop,2016,0.0
Baroque pop,2017,0.0
Baroque pop,2018,0.58
Baroque pop,2019,0.0
Baroque pop,2020,0.0
Beat,1954,0.0
Beat,1955,0.0
Beat,1956,0.0
Beat,1957,0.0
Beat,1958,0.0
Beat,1959,0.0
Beat,1960,0.0
Beat,1961,0.0
Beat,1962,0.0
Beat,1963,0.0
Beat,1964,0.0
Beat,1965,3.85
Beat,1966,0.0
Beat,1967,0.0
Beat,1968,0.0
Beat,1969,0.0
Beat,1970,1.63
Beat,1971,0.99
Beat,1972,0.7
Beat,1973,2.13
Beat,1974,2.63
Beat,1975,0.0
Beat,1976,0.0
Beat,1977,0.0
Beat,1978,2.17
Beat,1979,0.0
Beat,1980,0.0
Beat,1981,0.24
Beat,1982,0.44
Beat,1983,0.0
Beat,1984,0.0
Beat,1985,0.69
Beat,1986,0.87
Beat,1987,0.61
Beat,1988,1.02
Beat,1989,0.0
Beat,1990,0.44
Beat,1991,0.92
Beat,1992,0.6
Beat,1993,0.19
Beat,1994,0.34
Beat,1995,0.16
Beat,1996,0.17
Beat,1997,0.32
Beat,1998,0.15
Beat,1999,0.5
Beat,2000,0.35
Beat,2001,0.14
Beat,2002,0.29
Beat,2003,0.42
Beat,2004,0.12
Beat,2005,0.13
Beat,2006,0.08
Beat,2007,0.57
Beat,2008,0.44
Beat,2009,0.95
Beat,2010,0.0
Beat,2011,0.0
Beat,2012,0.39
Beat,2013,0.22
Beat,2014,0.76
Beat,2015,0.3
Beat,2016,0.12
Beat,2017,0.41
Beat,2018,0.58
Beat,2019,0.67
Beat,2020,0.0
Blues rock,1954,0.0
Blues rock,1955,0.0
Blues rock,1956,0.0
Blues rock,1957,0.0
Blues rock,1958,0.0
Blues rock,1959,0.0
Blues rock,1960,0.0
Blues rock,1961,0.0
Blues rock,1962,0.0
Blues rock,1963,0.0
Blues rock,1964,4.0
Blues rock,1965,0.0
Blues rock,1966,0.0
Blues rock,1967,0.0
Blues rock,1968,0.0
Blues rock,1969,17.65
Blues rock,1970,12.2
Blues rock,1971,7.92
Blues rock,1972,8.39
Blues rock,1973,7.8
Blues rock,1974,8.77
Blues rock,1975,11.76
Blues rock,1976,7.61
Blues rock,1977,11.87
Blues rock,1978,5.98
Blues rock,1979,5.98
Blues rock,1980,0.0
Blues rock,1981,4.34
Blues rock,1982,5.9
Blues rock,1983,7.36
Blues rock,1984,4.03
Blues rock,1985,6.6
Blues rock,1986,4.94
Blues rock,1987,6.73
Blues rock,1988,7.63
Blues rock,1989,6.77
Blues rock,1990,5.75
Blues rock,1991,6.62
Blues rock,1992,6.56
Blues rock,1993,8.74
Blues rock,1994,6.9
Blues rock,1995,6.16
Blues rock,1996,5.48
Blues rock,1997,4.43
Blues rock,1998,5.56
Blues rock,1999,5.82
Blues rock,2000,4.96
Blues rock,2001,4.12
Blues rock,2002,4.04
Blues rock,2003,4.54
Blues rock,2004,4.64
Blues rock,2005,3.64
Blues rock,2006,5.87
Blues rock,2007,4.79
Blues rock,2008,4.14
Blues rock,2009,5.82
Blues rock,2010,5.52
Blues rock,2011,4.11
Blues rock,2012,5.01
Blues rock,2013,5.16
Blues rock,2014,4.96
Blues rock,2015,6.17
Blues rock,2016,5.53
Blues rock,2017,4.13
Blues rock,2018,3.51
Blues rock,2019,2.67
Blues rock,2020,7.83
Country rock,1954,0.0
Country rock,1955,0.0
Country rock,1956,0.0
Country rock,1957,0.0
Country rock,1958,0.0
Country rock,1959,0.0
Country rock,1960,0.0
Country rock,1961,0.0
Country rock,1962,0.0
Country rock,1963,0.0
Country rock,1964,0.0
Country rock,1965,0.0
Country rock,1966,0.0
Country rock,1967,0.0
Country rock,1968,0.0
Country rock,1969,0.0
Country rock,1970,0.0
Country rock,1971,0.0
Country rock,1972,0.0
Country rock,1973,0.0
Country rock,1974,0.0
Country rock,1975,0.53
Country rock,1976,0.0
Country rock,1977,0.0
Country rock,1978,0.0
Country rock,1979,0.43
Country rock,1980,0.0
Country rock,1981,0.0
Country rock,1982,0.22
Country rock,1983,0.0
Country rock,1984,0.0
Country rock,1985,0.0
Country rock,1986,0.0
Country rock,1987,0.0
Country rock,1988,0.25
Country rock,1989,0.52
Country rock,1990,0.0
Country rock,1991,0.0
Country rock,1992,0.0
Country rock,1993,0.0
Country rock,1994,0.17
Country rock,1995,0.16
Country rock,1996,0.0
Country rock,1997,0.0
Country rock,1998,0.0
Country rock,1999,0.0
Country rock,2000,0.0
Country rock,2001,0.0
Country rock,2002,0.0
Country rock,2003,0.0
Country rock,2004,0.0
Country rock,2005,0.0
Country rock,2006,0.0
Country rock,2007,0.0
Country rock,2008,0.0
Country rock,2009,0.14
Country rock,2010,0.0
Country rock,2011,0.28
Country rock,2012,0.13
Country rock,2013,0.0
Country rock,2014,0.0
Country rock,2015,0.0
Country rock,2016,0.0
Country rock,2017,0.0
Country rock,2018,0.0
Country rock,2019,0.0
Country rock,2020,0.0
Dance-rock,1954,0.0
Dance-rock,1955,0.0
Dance-rock,1956,0.0
Dance-rock,1957,0.0
Dance-rock,1958,0.0
