band,link,genres,start_year,end_year
'68 comeback,http://dbpedia.org/resource/'68_Comeback,Garage rock|Rock music,1992,0
black randy and the metrosquad,http://dbpedia.org/resource/Black_Randy_and_the_Metrosquad,Punk rock,1977,1982
'til tuesday,http://dbpedia.org/resource/'Til_Tuesday,Alternative rock|New wave,1982,1982
"(also, 'el monstero y los masked avengers')",http://dbpedia.org/resource/El_Monstero,Art rock|Blues rock|Progressive rock|Psychedelic rock,1999,0
10 years,http://dbpedia.org/resource/10_Years_(band),Alternative rock,1999,0
31knots,http://dbpedia.org/resource/31Knots,Indie rock|Indietronica,1997,0
antony and the johnsons,http://dbpedia.org/resource/Antony_and_the_Johnsons,Baroque pop,1995,2015
afi,http://dbpedia.org/resource/AFI_(band),Alternative rock|Punk rock,1991,0
bulletproof stockings,http://dbpedia.org/resource/Bulletproof_Stockings,Alternative rock|Post-punk,2011,2016
béla fleck and the flecktones,http://dbpedia.org/resource/Béla_Fleck_and_the_Flecktones,Jazz fusion|Jazz rock,1988,2012
california redemption,http://dbpedia.org/resource/California_Redemption,Punk rock,2002,2002
office of future plans,http://dbpedia.org/resource/Office_of_Future_Plans,Punk rock,2009,0
parliament-funkadelic,http://dbpedia.org/resource/Parliament-Funkadelic,Funk rock|Psychedelic rock,1968,0
ruben rodriguez and his guadalajara kings,http://dbpedia.org/resource/Ruben_Rodriguez_and_His_Guadalajara_Kings,Rock music,1965,1965
steam powered giraffe,http://dbpedia.org/resource/Steam_Powered_Giraffe,Folk rock,2008,0
+44,http://dbpedia.org/resource/+44_(band),Alternative rock,2005,0
22 jacks,http://dbpedia.org/resource/22_Jacks,Punk rock,1995,2001
2cents,http://dbpedia.org/resource/2Cents,Heavy metal|Punk rock,1996,0
5ive,http://dbpedia.org/resource/5ive_(American_band),Experimental rock,2000,0
7 seconds,http://dbpedia.org/resource/7_Seconds_(band),Punk rock,1980,0
a penny for jane,http://dbpedia.org/resource/A_Penny_for_Jane,Alternative rock|Pop rock,2007,2012
adam bravin,http://dbpedia.org/resource/Adam_Bravin,Alternative rock,2012,0
alan singley and pants machine,http://dbpedia.org/resource/Alan_Singley_and_Pants_Machine,Indie rock|Indietronica|Rock music,2003,0
18th & addison,http://dbpedia.org/resource/18th_&_Addison,Alternative rock,2013,0
7eventh time down,http://dbpedia.org/resource/7eventh_Time_Down,Hard rock,2004,0
a place to bury strangers,http://dbpedia.org/resource/A_Place_to_Bury_Strangers,Experimental rock|Noise rock|Post-punk|Psychedelic rock,2003,0
a plea for purging,http://dbpedia.org/resource/A_Plea_for_Purging,Heavy metal,2005,2012
a rocket to the moons,http://dbpedia.org/resource/A_Rocket_to_the_Moon,Alternative rock|Indie rock|Indietronica|Pop rock|Soft rock,2006,2013
afternoons,http://dbpedia.org/resource/Afternoons,Indie rock|Indietronica,2006,0
against all authority,http://dbpedia.org/resource/Against_All_Authority,Punk rock,1992,2007
braindead soundmachine,http://dbpedia.org/resource/Braindead_Soundmachine,Industrial rock,1989,1993
chris brown and kate fenner,http://dbpedia.org/resource/Chris_Brown_and_Kate_Fenner,Folk rock,1996,0
citizens here and abroad,http://dbpedia.org/resource/Citizens_Here_and_Abroad,Indie rock|Indietronica,2002,2002
dave matthews and tim reynolds,http://dbpedia.org/resource/Dave_Matthews_and_Tim_Reynolds,Jazz fusion|Jazz rock|Rock music,1993,0
mondo primo (fka feable weiner),http://dbpedia.org/resource/Feable_Weiner,Power pop,2000,2000
street sweeper social club,http://dbpedia.org/resource/Street_Sweeper_Social_Club,Funk rock|Hard rock|Rap rock|Rapcore,2006,2010
.soulger.,http://dbpedia.org/resource/Soulger,Rock music,2000,2004
4-4-1,http://dbpedia.org/resource/4-4-1,Alternative rock|Post-punk|Rock music,1983,1983
ac/dshe,http://dbpedia.org/resource/AC/DShe,Hard rock,1997,0
adickdid,http://dbpedia.org/resource/Adickdid,Indie rock|Indietronica|Punk rock,1991,1991
against all will,http://dbpedia.org/resource/Against_All_Will,Alternative rock|Hard rock,2007,0
agalloch,http://dbpedia.org/resource/Agalloch,Post-rock,1995,2016
agents of oblivion,http://dbpedia.org/resource/Agents_of_Oblivion,Blues rock|Psychedelic rock,1999,2000
alabama shakes,http://dbpedia.org/resource/Alabama_Shakes,Blues rock|Southern rock,2009,0
alaska!,http://dbpedia.org/resource/Alaska!,Indie rock|Indietronica,2000,2005
alessi brothers,http://dbpedia.org/resource/Alessi_Brothers,Pop rock|Soft rock,1977,0
amazing transparent man,http://dbpedia.org/resource/Amazing_Transparent_Man,Punk rock,1997,1997
american fiction,http://dbpedia.org/resource/American_Fiction,Indie rock|Indietronica,2014,0
antioch secret society,http://dbpedia.org/resource/Antioch_Secret_Society,Alternative rock|Hard rock|Heavy metal,2005,0
apache stone,http://dbpedia.org/resource/Apache_Stone,Alternative rock|Rock music,2008,0
aphasia,http://dbpedia.org/resource/Aphasia_(American_band),Indie rock|Indietronica,1999,1999
arbouretum,http://dbpedia.org/resource/Arbouretum,Alternative rock,2002,0
arcade,http://dbpedia.org/resource/Arcade_(band),Hard rock,1991,1994
armored saint,http://dbpedia.org/resource/Armored_Saint,Heavy metal,1982,0
assjack,http://dbpedia.org/resource/Assjack,Heavy metal,1999,1999
astronauts of antiquity,http://dbpedia.org/resource/Astronauts_of_Antiquity,Alternative rock,2001,0
atlanta rhythm section,http://dbpedia.org/resource/Members_of_the_Atlanta_Rhythm_Section,Folk rock|Soft rock|Southern rock,1971,1971
atombombpocketknife,http://dbpedia.org/resource/Atombombpocketknife,Indie rock|Indietronica,1997,1997
atreyu,http://dbpedia.org/resource/Atreyu,Hard rock,1998,2011
atticus,http://dbpedia.org/resource/Atticus_(band),Alternative rock|Power pop|Progressive rock,1995,0
audio learning center,http://dbpedia.org/resource/Audio_Learning_Center,Rock music,1998,1998
augustines,http://dbpedia.org/resource/Augustines_(band),Alternative rock|Indie rock|Indietronica,2010,2016
autolux,http://dbpedia.org/resource/Autolux,Alternative rock|Experimental rock,2001,2001
automatic man,http://dbpedia.org/resource/Automatic_Man,Jazz fusion|Jazz rock|Progressive rock,1976,1978
aztlan underground,http://dbpedia.org/resource/Aztlan_Underground,Alternative rock|Experimental rock,1989,1989
b.a.l.l.,http://dbpedia.org/resource/B.A.L.L.,Alternative rock,1987,1990
backstabbers incorporated,http://dbpedia.org/resource/Backstabbers_Incorporated,Heavy metal,2000,0
bad city,http://dbpedia.org/resource/Bad_City,Hard rock,2008,2008
bad religion,http://dbpedia.org/resource/List_of_Bad_Religion_band_members,Punk rock,1980,1980
badfish,http://dbpedia.org/resource/Badfish,Alternative rock,2001,0
balance,http://dbpedia.org/resource/Balance_(band),Hard rock,1980,1983
bermuda triangle band,http://dbpedia.org/resource/Bermuda_Triangle_Band,Folk rock|Pop rock|Psychedelic rock,1967,0
blessid union of souls,http://dbpedia.org/resource/Blessid_Union_of_Souls,Alternative rock,1990,0
bo donaldson and the heywoods,http://dbpedia.org/resource/Bo_Donaldson_and_The_Heywoods,Garage rock,1965,1965
bobby and the midnites,http://dbpedia.org/resource/Bobby_and_the_Midnites,Rock music,1980,1984
bomb the music industry!,http://dbpedia.org/resource/Bomb_the_Music_Industry!,Indie rock|Indietronica|Punk rock,2004,2014
boneless children foundation,http://dbpedia.org/resource/Boneless_Children_Foundation,Indie rock|Indietronica,2003,2003
bridges and powerlines,http://dbpedia.org/resource/Bridges_and_Powerlines,Indie rock|Indietronica,2006,0
butch engle & the styx,http://dbpedia.org/resource/Butch_Engle_&_the_Styx,Folk rock|Garage rock|Pop rock,1963,1968
captain bogg and salty,http://dbpedia.org/resource/Captain_Bogg_and_Salty,Rock music,1999,1999
cat mother and the all night newsboys,http://dbpedia.org/resource/Cat_Mother_&_the_All_Night_Newsboys,Country rock|Rock music,1967,1967
children of the anachronistic dynasty,http://dbpedia.org/resource/Children_of_the_Anachronistic_Dynasty,Industrial rock|Post-punk,1986,1987
chris robinson brotherhood,http://dbpedia.org/resource/Chris_Robinson_Brotherhood,Blues rock|Psychedelic rock,2011,0
cobalt & the hired guns,http://dbpedia.org/resource/Cobalt_&_the_Hired_Guns,Rock music,2003,0
col. bruce hampton and the aquarium rescue unit,http://dbpedia.org/resource/Col._Bruce_Hampton_and_the_Aquarium_Rescue_Unit,Jazz fusion|Jazz rock|Progressive rock|Rock music,1988,1988
"crosby, stills, nash & young","http://dbpedia.org/resource/Crosby,_Stills,_Nash_&_Young",Country rock|Folk rock|Rock music,1968,2016
cross canadian ragweed,http://dbpedia.org/resource/Cross_Canadian_Ragweed,Alternative rock|Country rock|Heartland rock|Southern rock,1994,2010
dave brockie experience,http://dbpedia.org/resource/Dave_Brockie_Experience,Heavy metal|Punk rock,2001,2012
dave matthews & friends,http://dbpedia.org/resource/Dave_Matthews_&_Friends,Rock music,2003,2006
days between stations,http://dbpedia.org/resource/Days_Between_Stations,Art rock|Progressive rock|Psychedelic rock,2003,0
deadboy & the elephantmen,http://dbpedia.org/resource/Deadboy_&_the_Elephantmen,Indie rock|Indietronica,2000,2007
eastern conference champions,http://dbpedia.org/resource/Eastern_Conference_Champions,Indie rock|Indietronica,2005,0
edie brickell & new bohemians,http://dbpedia.org/resource/Edie_Brickell_&_New_Bohemians,Alternative rock|Folk rock|Southern rock,1985,0
elizabeth & the catapult,http://dbpedia.org/resource/Elizabeth_&_the_Catapult,Indie rock|Indietronica,2004,2004
ellen and the escapades,http://dbpedia.org/resource/Ellen_and_the_Escapades,Pop rock,2009,0
enation (currently jonathan jackson + enation),http://dbpedia.org/resource/Enation_(band),Alternative rock|Indie rock|Indietronica|Pop rock,2002,0
every mother's nightmare,http://dbpedia.org/resource/Every_Mother's_Nightmare,Hard rock,1987,1987
flying other brothers,http://dbpedia.org/resource/Flying_Other_Brothers,Rock music,1997,2007
future clouds and radar,http://dbpedia.org/resource/Future_Clouds_and_Radar,Power pop,2006,0
gideon smith & the dixie damned,http://dbpedia.org/resource/Gideon_Smith_&_the_Dixie_Damned,Hard rock|Southern rock,1996,0
grace potter and the nocturnals,http://dbpedia.org/resource/Grace_Potter_and_the_Nocturnals,Blues rock|Folk rock|Hard rock|Roots rock,2002,0
hammers of misfortune,http://dbpedia.org/resource/Hammers_of_Misfortune,Heavy metal,2000,0
henry flynt & the insurrections,http://dbpedia.org/resource/Henry_Flynt_&_the_Insurrections,Experimental rock|Folk rock|Garage rock|Proto-punk,1966,1966
hiss golden messenger,http://dbpedia.org/resource/Hiss_Golden_Messenger,Country rock,2007,0
