year,count
1954,4
1955,0
1956,1
1957,2
1958,3
1959,7
1960,28
1961,6
1962,30
1963,33
1964,126
1965,129
1966,103
1967,105
1968,50
1969,92
1970,69
1971,44
1972,53
1973,64
1974,55
1975,45
1976,64
1977,88
1978,65
1979,97
1980,151
1981,110
1982,76
1983,134
1984,146
1985,136
1986,142
1987,150
1988,111
1989,184
1990,183
1991,214
1992,264
1993,216
1994,282
1995,286
1996,289
1997,319
1998,307
1999,373
2000,363
2001,470
2002,414
2003,520
2004,511
2005,549
2006,444
2007,356
2008,326
2009,316
2010,270
2011,223
2012,135
2013,99
2014,42
2015,14
2016,8
2017,0
2018,0
2019,0
2020,0
