band,link,genres,start_year,end_year,hits
...and the native hipsters,http://dbpedia.org/resource/...And_the_Native_Hipsters,Experimental rock|Post-punk,1979,1980,0
barclay james harvest,http://dbpedia.org/resource/Barclay_James_Harvest,Art rock|Folk rock|Progressive rock|Psychedelic rock,1966,0,0
!action pact!,http://dbpedia.org/resource/!Action_Pact!,Punk rock,1981,1981,0
(aka martin turner plays the music of wishbone ash;,http://dbpedia.org/resource/Martin_Turner's_Wishbone_Ash,Hard rock|Progressive rock|Rock music,2005,2005,0
(the) ferris wheel,http://dbpedia.org/resource/The_Ferris_Wheel_(band),Rock music,1966,1970,0
a.c. temple,http://dbpedia.org/resource/A.C._Temple,Alternative rock,1985,1985,0
alberto y lost trios paranoias,http://dbpedia.org/resource/Alberto_y_Lost_Trios_Paranoias,Rock music,1972,1982,0
alfie,http://dbpedia.org/resource/Alfie_(band),Folk rock|Indie rock|Indietronica,1999,1999,0
amusement parks on fire,http://dbpedia.org/resource/Amusement_Parks_on_Fire,Art rock|Experimental rock,2004,2004,0
and so i watch you from afar,http://dbpedia.org/resource/And_So_I_Watch_You_from_Afar,Post-rock,2005,2005,0
anthony joseph & the spasm band,http://dbpedia.org/resource/The_Spasm_Band,Rock music,2005,2005,0
archive,http://dbpedia.org/resource/Archive_(band),Progressive rock,1994,0,4
billy bibby & the wry smiles,http://dbpedia.org/resource/Billy_Bibby_&_The_Wry_Smiles,Rock music,2015,0,0
carcrash international,http://dbpedia.org/resource/Carcrash_International,Alternative rock|Post-punk,1983,1985,0
carter the unstoppable sex machine,http://dbpedia.org/resource/Carter_the_Unstoppable_Sex_Machine,Alternative rock|Indie rock|Indietronica|Punk rock,1987,1998,0
classically handsome brutes,http://dbpedia.org/resource/Classically_Handsome_Brutes,Progressive rock,2012,0,0
cowbois rhos botwnnog,http://dbpedia.org/resource/Cowbois_Rhos_Botwnnog,Rock music|Surf music,2006,0,0
curiosity killed the cat,http://dbpedia.org/resource/Curiosity_Killed_the_Cat,New wave|Pop rock,1984,1992,0
danny and the champions of the world,http://dbpedia.org/resource/Danny_and_the_Champions_of_the_World,Rock music,2007,0,0
dawn of the replicants,http://dbpedia.org/resource/Dawn_of_the_Replicants,Indie rock|Indietronica,1996,1996,0
derek and the dominos,http://dbpedia.org/resource/Derek_and_the_Dominos,Blues rock|Hard rock,1970,0,26
doctor and the medics,http://dbpedia.org/resource/Doctor_and_the_Medics,Glam rock|Pop rock,1981,0,0
dr. strangely strange,http://dbpedia.org/resource/Dr._Strangely_Strange,Folk rock,1967,1967,0
dwa (don't wait animate),http://dbpedia.org/resource/Don't_Wait_Animate,Indie rock|Indietronica|Progressive rock,2008,0,0
eddie and the hot rods,http://dbpedia.org/resource/Eddie_and_the_Hot_Rods,New wave|Punk rock,1975,1981,4
electric light orchestra,http://dbpedia.org/resource/Electric_Light_Orchestra,Art rock|Progressive rock,1970,0,25
electric light orchestra part ii,http://dbpedia.org/resource/ELO_Part_II,Rock music,1989,2000,0
electric sound of joy,http://dbpedia.org/resource/Electric_Sound_of_Joy,Alternative rock,1994,1994,0
ellen and the escapades,http://dbpedia.org/resource/Ellen_and_the_Escapades,Pop rock,2009,0,0
"emerson, lake & palmer","http://dbpedia.org/resource/Emerson,_Lake_&_Palmer",Art rock|Progressive rock,1970,0,10
erland & the carnival,http://dbpedia.org/resource/Erland_and_the_Carnival,Alternative rock,2009,0,0
everything everything,http://dbpedia.org/resource/Everything_Everything,Art rock|Indie rock|Indietronica,2007,2007,0
frameless|center|paws,http://dbpedia.org/resource/PAWS_(band),Punk rock,2010,0,0
frank carter & the rattlesnakes,http://dbpedia.org/resource/Frank_Carter_&_The_Rattlesnakes,Punk rock,2015,0,0
frankie & the heartstrings,http://dbpedia.org/resource/Frankie_&_The_Heartstrings,Indie rock|Indietronica,2008,0,0
half man half biscuit,http://dbpedia.org/resource/Half_Man_Half_Biscuit,Indie rock|Indietronica,1984,1986,0
hapshash and the coloured coat,http://dbpedia.org/resource/Hapshash_and_the_Coloured_Coat,Psychedelic rock,1967,1969,0
hatfield and the north,http://dbpedia.org/resource/Hatfield_and_the_North,Experimental rock|Jazz fusion|Jazz rock|Progressive rock|Psychedelic rock,1974,1975,0
i am future (formally rpm),http://dbpedia.org/resource/I_Am_Future,Hard rock,2002,0,0
i set the sea on fire,http://dbpedia.org/resource/I_Set_The_Sea_On_Fire,Alternative rock|Funk rock|Indie rock|Indietronica,2010,0,0
incredible expanding mindfuck,http://dbpedia.org/resource/Incredible_Expanding_Mindfuck,Psychedelic rock,1996,2001,0
johnny flynn & the sussex wit,http://dbpedia.org/resource/Johnny_Flynn_&_The_Sussex_Wit,Folk rock,2006,2006,1
keith top of the pops & his minor uk indie celebrity all-star backing band,http://dbpedia.org/resource/Keith_Top_Of_The_Pops_&_His_Minor_UK_Indie_Celebrity_All-Star_Backing_Band,Indie rock|Indietronica,2006,0,0
kitchens of distinction,http://dbpedia.org/resource/Kitchens_of_Distinction,Alternative rock,1986,1996,1
leeds male voice choir,http://dbpedia.org/resource/Leeds_Male_Voice_Choir,Rock music,1916,0,0
"martin turner, founding original member of wishbone ash)",http://dbpedia.org/resource/Martin_Turner's_Wishbone_Ash,Hard rock|Progressive rock|Rock music,2005,2005,0
mount vernon arts lab,http://dbpedia.org/resource/Mount_Vernon_Arts_Lab,Post-rock,1996,1996,0
peter and the test tube babies,http://dbpedia.org/resource/Peter_and_the_Test_Tube_Babies,Punk rock,1978,0,0
public relations exercise,http://dbpedia.org/resource/Public_Relations_Exercise,Alternative rock,2003,2008,0
sparrow and the workshop,http://dbpedia.org/resource/Sparrow_and_the_Workshop,Indie rock|Indietronica,2008,0,0
special duties (band),http://dbpedia.org/resource/Special_Duties,Punk rock,1977,1983,0
van der graaf generator,http://dbpedia.org/resource/Van_der_Graaf_Generator,Art rock|Experimental rock|Progressive rock,1967,1972,2
10cc,http://dbpedia.org/resource/10cc,Art rock|Soft rock,1972,0,0
1990s,http://dbpedia.org/resource/1990s_(band),Garage rock|Indie rock|Indietronica|Power pop,2004,2013,0
22-20s,http://dbpedia.org/resource/22-20s,Blues rock|Indie rock|Indietronica|Rock music,2002,2005,0
350px|,http://dbpedia.org/resource/Dragnerve,Hard rock|Heavy metal,2007,2007,0
4ft fingers,http://dbpedia.org/resource/4ft_Fingers,Punk rock|Rock music,1996,0,0
60 ft. dolls,http://dbpedia.org/resource/60_Ft._Dolls,Hard rock,1993,1998,0
999,http://dbpedia.org/resource/999_(band),Punk rock,1977,1982,0
[dweeb],http://dbpedia.org/resource/Dweeb_(band),Alternative rock,2002,2011,0
a ii z,http://dbpedia.org/resource/A_II_Z,Heavy metal,1979,1982,0
a poetic yesterday,http://dbpedia.org/resource/A_Poetic_Yesterday,Rock music,2005,0,0
a.c. marias,http://dbpedia.org/resource/A.C._Marias,Alternative rock,1986,1990,0
abc,http://dbpedia.org/resource/ABC_(band),New wave,1980,1980,0
abdoujaparov,http://dbpedia.org/resource/Abdoujaparov,Alternative rock|Post-punk,1998,0,0
abrasive wheels,http://dbpedia.org/resource/Abrasive_Wheels,Punk rock,1976,1984,0
absentee,http://dbpedia.org/resource/Absentee_(band),Alternative rock,2003,0,0
ac acoustics,http://dbpedia.org/resource/AC_Acoustics,Alternative rock,1990,2003,0
adorable,http://dbpedia.org/resource/Adorable_(band),Alternative rock,1990,1994,0
aereogramme,http://dbpedia.org/resource/Aereogramme_(band),Alternative rock|Post-rock,1998,2007,0
